Vibration(mm/s),Temperature(°C),FlowRate(LPM),RPM,Lubrication_Level(%),Pressure(bar),Failure
1.98,60.65,624.34,1092.23,65.81,4.23,0
-0.3,47.77,436.86,1596.68,91.18,5.94,0
1.29,48.76,551.01,1463.7,72.47,5.55,0
1.57,53.33,448.19,1338.97,85.5,6.14,0
0.72,46.85,320.18,1651.73,77.99,2.37,0
1.88,60.57,402.14,1441.62,83.56,6.34,0
2.26,62.18,561.23,1432.97,86.4,6.01,0
1.61,62.75,407.85,1403.07,69.69,4.27,0
3.23,52.65,400.56,1674.7,81.17,0.14,0
3.51,74.85,792.73,1465.26,95.19,2.61,0
2.87,41.49,445.48,1535.57,85.01,5.55,0
1.7,56.03,572.1,1641.68,55.23,6.9,0
2.47,46.06,380.34,1374.45,78.31,6.65,0
2.98,38.8,535.83,1445.05,65.07,6.25,0
3.48,49.16,440.87,1761.67,92.12,4.51,0
1.18,61.92,377.23,1697.94,85.03,7.34,0
2.5,48.5,644.44,1324.73,73.77,5.83,0
3.22,41.85,437.19,1248.98,84.78,5.1,0
3.29,60.07,466.86,1381.42,69.22,3.47,0
2.23,61.46,395.77,1450.33,76.9,3.9,0
1.87,62.59,480.42,1399.32,89.18,4.69,0
1.53,35.21,364.4,1531.33,84.59,4.86,0
2.69,73.04,639.1,1418.19,89.88,3.28,0
2.65,56.04,376.69,1534.72,68.84,6.09,0
2.25,60.68,495.47,1500.26,75.59,5.62,0
1.78,46.04,402.36,1567.47,76.47,3.55,0
1.82,62.4,498.21,1565.93,82.16,6.93,0
3.64,43.04,461.61,1462.84,77.24,2.28,0
1.16,50.71,323.09,1616.9,66.35,3.79,0
1.33,37.77,353.43,1273.92,97.82,5.89,0
1.71,69.2,502.04,1508.32,88.86,6.89,0
2.41,39.34,509.89,1377.15,65.6,5.25,0
2.39,53.36,448.13,1346.63,83.59,7.01,0
2.21,43.62,641.2,1431.91,63.18,4.86,0
2.05,41.68,557.93,1649.56,77.77,4.26,0
2.74,52.87,471.89,1367.63,84.34,4.13,0
1.49,37.3,442.59,1159.69,68.96,7.44,0
2.36,53.21,602.28,1270.87,73.29,0.68,0
2.44,63.12,504.3,1608.99,86.37,4.99,0
3.06,47.03,485.51,1475.0,62.28,2.23,0
1.8,59.04,494.75,1409.78,84.34,2.83,0
1.74,52.24,513.59,1537.68,84.58,7.6,0
3.2,60.74,476.94,1201.72,82.1,6.18,0
0.86,52.29,279.17,1625.6,84.51,6.67,0
1.39,50.52,378.52,1521.29,81.2,6.52,0
2.8,59.58,455.2,1471.24,71.72,7.96,0
2.58,61.95,439.62,1441.44,81.24,5.96,0
3.03,61.95,502.92,1674.32,76.0,2.46,0
2.34,53.7,474.18,1773.87,84.34,5.54,0
2.52,52.67,489.38,1764.91,81.23,7.05,0
1.37,54.22,471.52,1652.81,77.19,5.39,0
1.89,47.64,529.75,1409.44,73.29,4.68,0
1.51,43.66,249.34,1596.68,98.64,5.34,0
2.96,55.96,337.45,1237.67,73.04,0.96,0
2.36,43.67,509.46,1451.33,93.13,3.45,0
1.04,34.57,325.28,1596.37,79.23,3.23,0
2.47,40.52,559.11,1308.79,74.54,5.29,0
1.54,68.98,486.19,1511.73,71.42,1.99,0
1.32,50.47,709.82,1516.73,73.26,3.9,0
1.83,30.22,545.73,1233.41,58.97,7.22,0
1.02,53.51,431.55,1493.2,82.01,4.82,0
2.54,58.95,569.8,1407.31,74.17,6.43,0
1.96,44.68,501.57,1542.27,89.47,5.57,0
2.3,47.16,464.4,1812.82,83.05,7.35,0
0.59,57.35,369.72,1577.44,95.99,3.58,0
4.08,53.96,416.39,1654.03,70.19,6.71,0
2.19,48.21,569.76,1423.8,55.42,9.74,0
3.36,51.11,483.58,1651.89,68.61,2.41,0
2.25,50.34,688.84,1541.24,75.61,6.85,0
2.47,60.82,492.01,1471.3,66.18,3.67,0
1.58,42.2,562.64,1314.07,70.32,5.5,0
2.32,57.82,510.72,1402.28,85.99,8.12,0
0.96,50.01,359.52,1643.38,95.67,6.84,0
2.14,70.5,401.87,1261.52,82.74,6.3,0
2.94,42.81,551.66,1625.67,66.92,5.21,0
2.53,41.76,502.94,1646.59,98.49,2.83,0
2.59,47.73,585.32,1520.15,69.6,4.21,0
1.56,57.36,543.16,1370.65,77.69,3.87,0
2.38,29.74,516.17,1737.59,86.78,4.61,0
1.96,45.82,430.06,1501.32,69.53,8.35,0
1.63,57.79,366.93,1560.99,66.55,5.67,0
2.93,62.5,348.75,1302.88,89.93,0.55,0
0.96,41.53,635.1,1451.78,95.58,4.87,0
1.1,40.12,502.32,1520.58,71.91,2.74,0
1.71,52.84,584.23,1608.73,85.42,4.65,0
0.61,56.95,668.45,1652.37,80.07,8.27,0
2.92,63.71,409.12,1569.24,85.87,6.25,0
-0.28,57.57,438.02,1444.01,84.47,2.97,0
1.7,57.21,444.29,1403.36,65.11,5.06,0
2.43,42.65,560.87,1339.59,92.04,4.22,0
2.94,44.76,275.06,1131.99,86.15,7.06,0
1.98,33.43,757.2,1385.28,81.24,4.53,0
1.46,67.82,573.97,1288.64,72.03,0.35,0
2.06,39.29,510.29,1221.16,67.15,5.82,0
2.21,65.23,493.21,1383.96,77.72,5.87,0
2.4,66.67,390.38,1463.2,105.3,7.46,0
2.32,38.22,387.44,1542.5,76.98,5.3,0
1.5,61.83,375.78,1639.13,84.85,5.94,0
3.18,59.0,451.11,1227.22,79.82,0.43,0
0.74,58.3,469.64,1389.49,64.76,2.38,0
2.52,42.27,636.32,1602.39,61.17,7.07,0
2.71,43.23,350.26,1331.38,89.92,4.78,0
1.86,40.48,480.98,1439.03,72.2,5.14,0
1.97,62.79,407.24,1517.68,72.24,3.95,0
2.86,52.22,506.19,1476.47,89.88,6.54,0
1.63,54.25,511.41,1212.12,66.15,3.05,0
3.35,51.85,495.37,1597.81,76.02,6.2,0
2.84,54.37,472.52,1550.51,79.93,5.21,0
1.84,31.42,611.85,1362.44,83.88,3.57,0
1.5,52.31,422.88,1509.46,73.18,3.62,0
1.16,46.22,497.99,1572.7,68.43,1.38,0
2.49,41.22,596.39,1294.12,78.82,6.09,0
2.89,56.65,482.24,1549.38,85.72,4.51,0
-0.32,50.46,380.96,1550.09,68.35,2.51,0
2.8,47.62,503.39,1628.38,71.86,6.27,0
2.28,64.36,382.09,1235.66,84.06,7.07,0
2.73,61.87,442.97,1365.71,89.23,1.58,0
0.4,42.88,302.4,1445.38,75.03,5.56,0
1.94,51.48,564.46,1240.12,78.56,4.51,0
2.59,53.68,429.06,1339.78,93.58,4.23,0
2.04,60.58,587.62,1672.56,67.55,4.44,0
2.58,56.39,423.58,1353.98,92.7,3.17,0
1.97,52.98,447.64,1454.47,91.57,9.06,0
0.83,31.17,409.51,1412.9,95.89,5.69,0
1.79,52.29,479.47,1626.48,75.37,4.64,0
2.19,42.67,615.03,1266.25,66.25,4.3,0
2.82,54.41,346.85,1396.24,80.02,4.76,0
2.31,48.27,414.85,1504.45,72.49,5.08,0
3.66,60.59,509.11,1580.92,80.24,5.16,0
1.74,33.31,553.44,1595.87,81.03,4.34,0
1.72,78.68,460.27,1280.71,82.38,4.33,0
1.72,50.12,381.22,1220.1,76.75,5.17,0
2.68,59.38,531.15,1417.96,73.87,3.75,0
3.2,51.85,310.72,1319.8,85.95,5.6,0
1.66,37.45,573.31,1447.68,69.34,4.39,0
1.6,51.89,580.32,1489.64,79.34,1.95,0
2.8,37.2,358.89,1578.28,84.55,4.29,0
0.97,69.11,514.93,1276.88,76.69,3.28,0
1.07,54.7,608.21,1320.92,73.2,5.46,0
3.12,43.93,522.33,1416.18,62.99,5.0,0
1.54,63.29,480.63,1737.79,73.89,8.46,0
2.51,51.09,477.95,1479.31,94.97,3.48,0
3.44,37.63,349.0,1113.16,79.24,1.27,0
1.78,33.69,473.97,1709.55,65.93,3.9,0
1.2,39.61,434.33,1435.7,79.32,7.65,0
1.45,46.25,518.85,1641.17,73.08,5.04,0
1.8,20.93,419.49,1264.53,77.02,8.15,0
0.37,46.31,623.37,1404.11,79.03,8.01,0
2.17,58.42,472.76,1592.22,100.04,1.9,0
2.02,41.03,402.13,1543.2,100.4,6.36,0
1.82,48.89,424.1,1386.8,71.37,8.21,0
2.7,42.88,414.83,1394.91,104.02,7.22,0
3.2,42.92,487.1,1401.54,81.85,3.69,0
2.05,45.41,608.42,1366.18,82.64,3.97,0
2.0,54.32,474.27,1766.69,67.73,2.73,0
1.23,49.01,585.79,1272.85,81.82,1.33,0
2.34,28.73,468.73,1445.19,74.9,3.78,0
2.63,58.47,479.13,1359.15,83.62,4.84,0
2.61,47.32,527.88,1247.8,73.52,3.32,0
0.73,54.73,569.63,1357.48,90.27,4.3,0
0.06,39.79,575.88,1563.93,68.28,4.86,0
1.64,59.52,507.96,1313.55,90.15,2.14,0
0.49,54.43,483.09,1292.49,84.07,3.67,0
2.67,32.69,350.38,1290.5,75.01,6.16,0
1.46,49.62,545.67,1521.3,86.36,6.45,0
2.1,49.11,657.37,1381.3,81.28,1.15,0
0.86,45.89,591.04,1411.83,84.99,2.83,0
1.97,50.73,439.48,1635.58,65.73,5.01,0
1.61,44.99,419.85,1768.68,61.58,5.84,0
1.02,57.13,336.8,1717.44,69.74,4.96,0
1.61,34.65,446.04,1273.42,86.26,2.11,0
2.52,43.82,616.23,1380.28,63.99,1.79,0
1.79,45.9,561.38,1711.73,81.87,3.9,0
1.18,68.3,503.4,1375.15,82.69,5.25,0
2.49,58.93,300.11,1329.95,70.75,3.36,0
2.1,58.94,279.88,1333.66,76.17,5.0,0
2.03,38.03,472.52,1480.82,78.86,8.36,0
3.38,42.2,467.05,1349.9,74.08,2.76,0
3.71,46.69,443.87,1464.97,82.27,7.48,0
1.98,38.96,329.81,1563.01,76.55,6.45,0
1.54,55.22,542.78,1468.28,82.81,2.17,0
2.34,55.16,577.08,1423.06,81.35,6.32,0
1.74,59.75,465.28,1033.93,93.05,5.24,0
3.53,56.46,322.6,1475.46,91.52,4.89,0
1.48,35.33,448.75,1372.58,86.07,6.78,0
2.16,42.48,450.2,1374.96,93.05,6.41,0
3.39,39.98,422.83,1291.12,84.2,6.29,0
1.45,57.76,619.33,1450.27,95.18,8.14,0
3.66,36.83,525.62,1359.61,81.93,4.43,0
2.16,56.08,474.51,1333.87,86.77,2.5,0
3.05,40.54,446.12,1410.35,91.23,3.38,0
1.57,45.84,325.31,1571.29,82.15,6.74,0
2.84,49.03,547.56,1487.59,83.15,7.15,0
2.51,51.58,521.78,1519.16,79.71,5.43,0
2.72,46.1,448.22,1634.33,85.02,2.16,0
2.31,32.48,499.08,1355.89,77.07,3.88,0
2.56,38.46,519.84,1399.33,77.83,5.14,0
1.48,43.05,521.03,1403.19,80.64,4.11,0
2.03,69.53,438.84,1585.34,77.61,5.36,0
1.05,71.65,668.92,1583.78,86.05,3.81,0
3.72,42.72,595.25,1577.61,100.54,5.43,0
1.33,55.06,376.76,1516.73,85.56,6.28,0
2.22,40.35,464.63,1238.66,76.15,3.55,0
1.46,47.2,394.44,1604.75,71.42,6.24,0
3.0,39.76,750.09,1668.34,85.92,3.96,0
1.76,33.17,483.96,1542.75,74.31,5.04,0
2.72,68.07,521.05,1425.98,73.58,6.69,0
1.43,64.51,631.55,1673.95,86.87,3.71,0
1.45,38.05,425.08,1360.45,78.44,6.58,0
1.0,49.23,629.21,1511.45,73.61,3.78,0
3.4,51.31,489.0,1420.59,86.86,4.18,0
0.88,54.0,482.07,1414.92,71.72,4.26,0
1.47,51.78,501.3,1531.45,82.51,4.93,0
1.44,44.74,611.86,1375.02,82.68,6.22,0
2.25,61.91,666.99,1283.01,84.73,6.06,0
2.43,36.45,438.55,1681.34,67.49,4.92,0
2.1,32.06,575.34,1417.73,74.53,4.34,0
1.66,33.13,433.85,1329.17,93.35,1.24,0
2.1,38.47,425.41,1529.92,68.93,7.35,0
3.09,40.2,349.71,1318.63,67.78,3.11,0
2.18,54.58,376.04,1344.81,70.01,4.8,0
2.44,28.71,562.65,909.84,91.69,6.68,0
2.35,48.34,348.1,1338.63,90.55,2.64,0
0.73,44.06,619.55,1324.22,101.66,5.9,0
2.26,50.77,525.88,1406.5,76.46,3.11,0
1.52,54.28,563.76,1500.15,75.45,4.19,0
0.93,46.59,572.85,1147.76,71.85,2.1,0
1.23,48.63,485.82,1443.81,73.47,8.42,0
2.44,56.79,477.29,1449.39,85.23,10.09,0
1.53,51.95,437.55,1474.79,68.01,4.8,0
1.44,37.07,365.18,1481.5,96.13,4.98,0
2.34,52.08,519.34,1527.98,77.3,8.19,0
3.34,58.41,433.19,1856.55,75.57,2.26,0
1.03,48.53,304.27,1199.24,72.22,5.48,0
2.98,44.5,402.01,1467.66,78.64,4.66,0
2.3,41.68,462.55,1450.27,77.84,3.68,0
0.41,69.92,465.59,1389.38,76.37,7.17,0
2.67,45.97,446.69,1486.52,89.16,7.22,0
2.26,43.25,499.72,1681.41,92.52,7.15,0
0.76,70.47,400.18,1474.97,68.81,4.07,0
2.19,47.78,527.31,1505.9,82.56,7.04,0
1.38,51.26,569.16,1207.62,76.64,5.66,0
1.02,24.68,569.01,1235.3,69.06,5.5,0
1.19,49.01,574.7,1451.88,84.48,6.62,0
1.82,65.91,246.82,1377.4,73.99,6.78,0
1.7,54.91,395.45,1424.19,80.46,5.65,0
3.3,45.96,577.51,1264.64,97.13,2.86,0
2.46,72.71,497.08,1405.07,68.91,8.47,0
1.56,64.89,604.89,1626.76,66.39,0.33,0
3.34,55.06,507.56,1342.89,98.96,4.48,0
3.31,36.14,354.91,1550.13,79.79,3.57,0
1.36,69.73,493.64,1644.87,83.19,7.61,0
1.55,34.23,402.72,1499.91,80.59,5.86,0
3.77,51.39,632.81,1318.36,76.89,6.9,0
2.77,58.62,450.8,1340.98,83.8,2.19,0
2.04,41.84,703.59,1686.38,83.22,2.74,0
1.9,44.36,332.88,1405.05,79.7,5.98,0
1.85,61.06,463.48,1335.74,81.16,6.93,0
2.51,52.13,622.39,1351.44,85.31,6.09,0
1.95,43.72,532.0,1393.69,87.03,3.78,0
2.1,39.74,425.19,1340.22,83.23,5.92,0
1.88,52.17,609.02,1329.53,68.9,6.57,0
3.1,40.62,565.96,1374.3,90.71,6.58,0
2.56,61.37,479.65,1509.1,83.68,8.32,0
2.48,38.47,396.37,1253.05,88.37,3.72,0
1.02,40.54,472.25,1674.25,81.66,3.86,0
2.95,66.76,437.13,1474.42,84.0,6.58,0
2.77,39.25,639.95,1288.0,95.87,5.52,0
1.8,37.93,597.6,1675.76,76.98,4.25,0
2.36,53.38,389.19,1391.26,77.88,6.81,0
3.29,62.77,670.46,1328.85,65.75,4.2,0
2.34,25.12,511.09,896.75,82.84,9.35,0
2.26,64.19,455.82,1485.32,40.78,4.02,0
2.26,47.12,359.31,1442.68,62.26,3.34,0
1.86,61.01,303.27,1858.29,64.52,9.04,0
2.24,46.7,365.02,1315.35,89.33,9.88,0
1.09,58.76,445.9,1322.63,83.25,3.78,0
2.51,28.48,414.94,1522.8,81.98,5.27,0
2.88,41.38,439.81,1430.67,65.81,6.43,0
2.84,55.54,494.0,1488.21,74.49,4.01,0
2.16,50.8,534.18,1599.14,78.73,6.15,0
1.95,51.34,618.4,1292.12,75.04,6.68,0
3.92,61.7,494.3,1214.05,87.74,6.55,0
2.29,63.55,438.7,1350.87,90.47,5.52,0
2.12,40.84,568.79,1667.04,75.42,2.79,0
2.4,57.21,465.49,1434.7,83.37,3.56,0
2.7,58.81,510.71,1336.68,69.24,4.73,0
2.17,41.27,438.28,1541.19,81.43,2.37,0
1.85,47.84,431.4,1323.03,75.15,5.51,0
3.95,54.75,574.52,1367.11,66.88,5.09,0
1.21,47.16,394.88,1295.55,63.12,5.15,0
2.75,66.28,584.18,1546.28,64.66,6.44,0
1.21,40.35,451.64,1583.98,78.24,6.29,0
0.74,62.3,361.8,1549.43,75.41,4.4,0
3.11,47.57,553.32,1471.31,83.95,4.43,0
2.14,57.06,570.31,1655.84,82.95,2.34,0
1.92,48.51,434.83,1129.63,80.02,2.18,0
0.65,36.34,487.15,1677.99,81.14,5.41,0
1.78,36.58,372.43,1399.98,82.05,2.25,0
1.4,64.0,543.09,1612.54,78.67,3.67,0
1.95,55.74,708.27,1522.42,91.21,3.38,0
2.68,58.35,461.55,1291.14,77.95,-0.42,0
2.48,39.08,428.85,1300.42,59.28,5.77,0
3.11,49.98,513.42,1169.05,81.57,5.16,0
1.36,73.08,538.08,1239.47,90.3,5.09,0
2.82,61.04,261.57,1591.8,88.23,3.35,0
0.68,52.58,503.68,1451.16,69.84,3.02,0
0.89,34.51,508.28,1383.61,103.06,2.59,0
3.83,40.96,545.06,1463.41,85.03,5.08,0
0.0,51.96,695.98,1139.74,89.34,5.04,0
1.74,73.2,609.9,1175.74,68.17,7.13,0
1.45,49.46,481.67,1285.36,79.48,7.77,0
3.31,46.39,483.01,1727.81,74.09,3.34,0
0.94,39.85,449.98,1555.65,70.44,-0.99,0
1.49,70.86,462.66,1594.8,81.8,4.2,0
0.28,54.49,538.17,1321.99,83.35,-0.11,0
1.21,38.18,651.54,1610.94,88.23,7.55,0
0.85,53.62,524.94,1523.8,96.76,2.1,0
2.01,60.61,497.88,1576.67,82.04,5.09,0
1.48,34.7,391.81,1561.15,88.35,5.44,0
2.52,60.7,550.56,1317.14,93.83,6.4,0
2.47,47.57,475.86,1186.67,77.97,7.6,0
2.91,66.56,468.49,1499.86,73.28,5.23,0
1.84,42.65,644.88,1332.01,91.35,4.51,0
1.84,41.19,395.98,1549.8,84.62,5.03,0
2.07,39.04,438.39,1322.32,61.46,6.24,0
2.44,53.08,440.58,1478.21,81.83,5.37,0
2.52,52.08,601.89,1253.27,68.14,5.15,0
2.42,59.58,591.99,1414.52,71.44,3.83,0
1.96,43.92,511.35,1330.65,91.89,7.32,0
2.18,39.6,505.67,1526.59,83.59,4.46,0
4.51,31.1,481.65,1479.24,88.84,3.35,0
0.29,47.57,591.02,1473.65,85.0,5.84,0
3.1,46.27,508.45,1472.57,85.0,4.2,0
1.52,66.3,459.67,1406.78,83.36,1.52,0
2.16,62.72,543.62,1356.27,73.2,6.45,0
1.28,65.59,490.8,1354.47,79.19,2.64,0
3.01,42.23,574.18,1438.18,76.29,9.38,0
0.58,61.46,463.77,1335.05,77.21,2.13,0
1.96,52.32,549.4,1370.05,76.3,4.14,0
2.9,48.0,596.72,1183.08,83.99,5.29,0
1.98,63.57,596.88,1314.13,83.22,3.41,0
2.3,47.06,507.33,1574.57,88.26,8.95,0
1.7,52.43,513.97,1445.12,67.33,4.97,0
2.5,49.37,439.96,1542.02,71.58,5.61,0
1.73,58.86,530.83,1319.68,57.82,4.44,0
2.25,35.0,641.64,1493.09,69.11,1.9,0
2.08,50.72,466.86,1373.49,77.31,6.88,0
2.37,44.1,365.48,1463.94,75.21,3.74,0
